nbJobs =100;
nbStages =8;
nbMach =[0,3,2,2,2,2,3,2,3];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[31,31,39,85,91,95,104,29,29,6,8,83,96,97,7,9,56,63,68],
[14,16,16,44,55,19,19,19,26,97,146,74,94,94,113,135,45,55,57],
[59,60,62,84,100,1,1,28,53,88,110,27,28,29,60,65,31,35,39],
[81,87,92,61,65,11,15,36,37,89,102,21,32,36,49,59,32,34,35],
[83,93,104,32,57,52,58,29,32,31,38,44,48,50,75,84,56,75,85],
[6,7,7,23,29,22,24,4,5,70,75,7,7,8,23,25,13,13,14],
[74,88,110,25,26,34,35,54,83,39,44,38,39,46,33,45,13,13,15],
[64,75,76,39,42,81,96,40,46,47,55,1,1,1,13,17,47,49,49],
[79,90,101,45,67,59,64,65,70,25,28,59,94,107,4,5,99,109,114],
[27,36,37,69,70,19,21,67,85,3,4,83,89,102,22,24,60,74,78],
[93,93,115,37,43,22,23,41,55,98,107,52,55,72,67,79,36,39,46],
[88,95,109,43,54,88,102,73,88,42,47,72,73,77,27,30,30,42,62],
[24,24,29,12,12,24,25,90,103,75,86,1,1,1,65,92,1,1,1],
[76,80,90,14,19,2,2,11,17,53,78,42,43,54,7,11,31,37,40],
[1,1,1,68,89,28,44,64,109,51,60,56,71,77,65,68,66,74,88],
[61,88,101,102,103,14,14,15,24,88,105,38,55,59,43,52,97,100,103],
[4,4,4,78,118,23,26,23,26,9,10,48,57,65,57,77,47,74,74],
[92,93,109,55,73,38,38,51,55,74,89,81,83,88,16,18,51,55,60],
[31,34,34,84,98,42,53,68,88,30,33,71,90,95,65,67,87,88,117],
[27,32,35,50,84,100,109,50,53,6,6,29,30,34,59,61,52,53,54],
[53,65,70,74,112,61,67,53,59,64,87,74,81,98,66,80,98,101,127],
[78,93,111,70,74,101,106,88,125,58,64,80,93,108,69,80,65,69,80],
[27,38,43,16,17,29,32,56,84,9,12,26,28,31,17,18,28,38,48],
[64,67,83,62,81,3,5,61,92,17,18,49,64,71,101,118,17,19,20],
[65,70,73,74,74,73,74,101,124,24,32,61,75,75,36,38,85,88,93],
[49,71,83,28,43,45,53,35,35,8,11,50,64,65,41,50,94,101,103],
[39,44,52,12,13,4,5,53,60,9,11,40,45,51,42,44,77,89,90],
[4,6,6,22,23,38,46,57,76,43,44,14,16,17,73,79,22,31,34],
[48,66,80,49,56,65,73,30,38,106,121,65,83,100,9,10,43,50,54],
[71,77,78,48,53,84,104,54,62,44,54,51,57,65,6,11,94,97,126],
[42,52,54,75,130,63,74,79,89,23,27,30,34,50,65,83,73,77,78],
[83,105,108,47,63,27,31,75,109,21,28,45,52,57,33,42,62,67,84],
[61,76,101,51,56,8,10,73,83,66,77,81,106,118,24,29,4,5,6],
[94,94,95,85,91,34,43,85,92,47,54,17,17,17,62,86,11,12,12],
[3,4,6,33,36,40,44,18,20,29,34,58,60,72,31,55,24,29,32],
