nbJobs =100;
nbStages =8;
nbMach =[0,2,3,2,2,2,2,3,2];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[10,13,78,85,99,75,78,11,14,76,80,19,28,74,91,99,54,67],
[40,44,59,69,90,72,82,52,55,75,84,85,91,5,6,7,14,19],
[62,82,65,81,98,51,63,47,48,37,48,71,86,54,58,59,42,51],
[50,58,46,50,67,72,84,77,95,70,76,77,82,4,5,7,41,65],
[32,38,36,36,37,47,60,69,95,68,90,93,98,37,58,68,21,28],
[41,44,53,78,83,28,37,76,87,58,74,48,52,44,60,61,93,97],
[7,7,33,42,42,37,45,26,26,21,24,59,65,55,67,69,21,45],
[4,5,12,15,16,68,83,22,25,32,42,60,109,12,13,13,23,27],
[60,72,36,41,42,2,2,3,4,75,88,66,80,83,112,116,29,33],
[65,71,56,65,67,78,110,46,64,72,78,34,35,69,75,77,41,48],
[75,76,49,66,73,12,13,17,17,10,13,35,36,19,21,25,48,94],
[8,8,6,7,8,70,71,29,36,13,15,99,109,26,30,31,22,32],
[32,35,38,45,52,16,16,19,21,14,15,91,105,85,89,94,24,32],
[65,101,60,64,75,62,71,36,37,45,59,64,71,10,14,17,26,31],
[32,38,23,25,25,59,65,38,41,51,61,70,76,63,80,97,35,45],
[79,87,70,71,83,3,3,46,58,73,74,35,40,44,49,52,79,101],
[15,26,40,51,60,86,94,72,97,17,24,4,5,8,9,10,74,106],
[28,30,19,23,27,60,75,20,20,4,4,71,84,79,80,87,28,29],
[50,66,37,42,44,54,81,87,91,64,86,27,37,61,61,65,61,103],
[58,71,6,7,11,25,27,28,35,58,68,24,25,2,2,2,97,105],
[33,45,20,22,24,14,18,28,32,67,76,31,37,2,2,2,75,87],
[93,96,96,96,101,43,52,50,63,68,73,16,22,5,6,7,11,13],
[20,22,67,75,76,73,104,31,36,3,3,32,55,35,38,42,33,41],
[35,52,47,48,66,58,84,26,27,36,51,12,15,28,28,33,79,82],
[62,71,72,73,75,59,86,4,6,35,43,32,33,78,81,85,8,9],
[81,109,35,40,40,44,57,58,59,49,51,23,27,34,41,50,48,53],
[5,5,22,26,32,21,25,35,40,97,99,18,19,61,77,90,62,73],
[6,10,2,2,2,110,110,61,73,48,49,37,45,69,85,103,4,4],
