nbJobs =50;
nbStages =5;
nbMach =[0,2,2,2,2,2];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[61,68,12,13,22,28,7,8,80,95],
[34,36,45,46,50,60,55,67,35,36],
[72,80,25,30,48,65,95,108,35,39],
[35,44,83,106,53,59,3,3,50,51],
[6,8,19,21,73,97,95,98,5,5],
[80,106,43,65,18,24,30,32,12,22],
[51,61,79,84,43,47,63,64,57,78],
[44,52,50,76,59,69,18,40,65,92],
[75,80,29,42,61,72,44,55,24,25],
[61,64,47,59,14,16,41,44,2,3],
[72,74,38,39,16,18,90,104,61,83],
[3,4,100,101,37,44,36,41,21,22],
[94,107,63,70,48,58,3,3,96,108],
[87,98,58,65,79,125,40,50,92,110],
[2,2,63,73,30,37,11,12,68,74],
[72,91,44,50,33,41,26,30,63,66],
[68,70,98,110,44,52,24,28,4,5],
[21,29,47,55,34,37,79,98,85,103],
[26,32,71,97,40,41,20,26,28,39],
[79,84,38,44,25,34,18,23,72,74],
[27,28,17,22,26,31,29,36,67,84],
[74,79,54,60,38,44,81,82,10,13],
[34,37,3,3,53,66,26,29,87,88],
[19,25,71,90,27,34,1,1,60,75],
[55,69,52,60,32,61,63,80,49,60],
[26,27,71,83,20,28,70,80,92,93],
[100,103,28,33,9,11,45,51,63,77],
[22,26,49,58,43,57,91,97,95,98],
[65,75,33,37,27,38,45,49,21,22],
[30,44,45,65,57,70,80,102,31,33],
[108,112,18,20,34,35,48,57,1,1],
[91,97,30,34,55,74,19,26,83,90],
[92,108,58,89,23,31,63,90,24,24],
[69,88,42,64,29,29,13,15,94,109],
[49,66,80,92,26,50,61,70,59,81],
[40,56,9,11,39,48,23,26,73,76],
[40,47,70,89,21,26,1,1,15,21],
[35,46,88,107,4,5,29,31,28,34],
[74,83,55,83,18,21,38,49,68,90],
[37,41,18,23,19,24,3,3,82,84],
[56,77,33,38,42,45,79,85,25,33],
[29,33,61,82,34,40,32,37,63,63],
[13,13,45,50,46,54,22,27,36,43],
[73,77,85,95,78,92,3,3,14,16],
[85,96,14,23,50,59,62,67,63,104],
[22,40,24,29,49,61,16,28,35,37],
[55,60,2,2,58,59,78,92,71,79],
[83,117,44,54,19,20,42,55,66,69],
[32,41,41,50,54,75,28,30,50,62],
[56,63,73,114,71,94,30,35,34,41]
];
OpDue = [985,1160,1493,1218,1068,1080,1568,1413,1268,878,1488,1023,1625,2010,930,1290,1258,1470,1050,1228,918,1338,1065,1008,1453,1475,1300,1590,1030,1393,1085,1498,1505,1380,1585,1003,828,1018,1448,835,1283,1185,873,1340,1558,853,1390,1423,1158,1528];
