nbJobs =50;
nbStages =5;
nbMach =[0,3,2,3,2,2];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[43,64,75,1,1,6,10,11,42,55,75,82],
[35,37,46,44,46,71,71,80,79,92,26,29],
[31,35,44,80,87,71,74,89,72,92,77,78],
[51,76,76,73,80,30,33,34,86,89,19,23],
[73,91,94,2,2,8,10,11,71,97,33,34],
[53,68,68,42,50,88,92,113,58,73,8,13],
[59,66,71,23,30,53,56,57,43,53,2,2],
[84,84,101,37,45,25,27,31,82,90,89,100],
[71,79,91,28,29,1,1,1,21,26,26,27],
[38,39,46,18,20,46,64,71,23,26,19,20],
[65,96,107,13,21,99,100,106,57,65,46,55],
[75,86,109,54,65,2,2,2,84,91,73,83],
[19,24,25,37,39,61,66,78,64,76,44,45],
[20,24,26,64,82,84,100,110,23,24,4,4],
[120,130,130,50,56,102,102,113,50,55,20,25],
[45,53,54,18,19,83,90,100,73,119,84,90],
[27,32,39,80,103,58,76,106,28,39,53,67],
[5,7,7,88,95,38,41,51,37,48,91,103],
[51,75,87,15,15,6,7,7,94,111,3,3],
[49,57,60,62,72,4,4,5,29,34,71,74],
[15,18,18,83,91,17,23,27,2,2,85,108],
[36,38,46,13,14,71,75,79,64,75,68,70],
[6,6,7,60,63,81,88,91,24,24,64,106],
[61,81,87,79,104,37,48,59,27,49,47,50],
[50,55,62,90,103,55,62,87,15,15,3,3],
[58,67,68,28,35,100,100,111,18,25,64,87],
[12,13,17,56,62,55,61,67,87,89,57,66],
[89,90,103,24,33,29,45,53,50,71,19,20],
[59,67,72,74,95,16,24,26,44,61,3,4],
[34,36,36,11,12,1,1,1,42,61,67,86],
[24,32,34,62,66,48,87,90,18,24,21,24],
[54,57,70,77,95,39,43,45,3,4,47,66],
[3,3,3,31,35,25,41,41,3,4,40,44],
[9,10,11,73,78,93,98,104,51,69,47,51],
[28,32,34,73,79,70,81,89,24,30,73,78],
[20,26,29,61,82,26,32,35,14,17,9,9],
[64,73,78,23,28,68,71,74,49,55,54,75],
[58,74,77,28,36,47,54,63,35,38,6,7],
[38,48,63,56,63,39,46,47,81,99,12,13],
[76,92,92,21,27,17,18,26,66,93,54,66],
[60,62,68,87,123,53,61,65,69,74,73,104],
[10,11,14,23,27,92,94,100,10,12,64,86],
[63,65,70,74,103,60,65,70,96,114,13,19],
[3,4,4,10,13,64,75,77,24,26,71,75],
[22,26,33,77,85,31,34,42,19,24,74,93],
[49,56,64,42,52,10,10,12,29,52,48,53],
[37,47,49,16,24,60,87,108,33,47,62,68],
[11,13,17,35,49,56,63,72,75,110,50,68],
[50,58,59,43,74,32,55,84,38,42,45,55],
[73,86,105,6,7,24,27,34,8,8,68,89]
];
OpDue = [988,1357,1788,1425,1076,1413,986,1694,799,822,1598,1585,1218,1109,1802,1716,1488,1403,991,1153,1124,1335,1318,1512,1191,1483,1418,1224,1143,879,1063,1243,586,1464,1449,760,1423,997,1278,1353,1940,1090,1703,926,1243,1025,1272,1354,1306,1047];
