nbJobs =50;
nbStages =8;
nbMach =[0,3,3,2,2,3,3,2,2];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[9,9,10,57,76,83,81,83,91,97,33,34,39,59,68,68,65,94,87,93],
[65,98,113,60,62,62,2,2,25,27,28,38,42,56,67,85,1,1,7,8],
[73,73,92,69,84,104,41,62,49,50,22,28,28,84,90,105,45,45,55,88],
[53,58,62,52,52,56,71,89,1,1,33,38,53,28,38,49,50,64,6,6],
[12,12,12,53,62,69,61,67,32,37,7,9,9,54,56,66,34,45,73,73],
[27,33,35,88,90,125,48,67,52,69,61,71,78,91,101,113,75,91,82,85],
[19,20,21,66,79,82,60,101,23,28,97,98,115,23,23,24,11,12,76,76],
[16,16,16,58,65,83,21,23,9,10,59,62,69,40,45,50,82,97,17,21],
[46,47,53,43,51,72,18,21,46,64,13,15,15,22,26,31,82,110,24,24],
[8,8,9,41,59,62,43,56,22,35,2,2,2,6,6,7,47,65,45,52],
[68,72,81,16,18,23,1,1,11,15,17,17,19,62,76,95,7,9,13,15],
[68,75,78,23,34,42,69,95,31,48,10,10,10,99,103,110,62,82,67,74],
[86,103,109,74,104,113,23,37,11,12,17,23,23,73,74,96,78,91,40,57],
[79,80,93,55,64,74,10,23,52,74,25,30,30,46,48,56,70,73,19,20],
[77,79,94,38,85,91,30,40,40,43,57,71,75,32,38,40,46,49,94,96],
[33,46,47,40,68,71,46,48,52,54,78,88,94,44,49,66,43,47,9,9],
[29,31,41,44,60,67,45,51,52,57,61,64,74,67,69,78,29,32,62,65],
[49,51,51,75,97,101,21,21,66,81,63,75,94,34,44,46,37,38,57,67],
[74,77,92,63,74,83,43,51,67,72,2,2,2,56,58,58,9,11,12,14],
[13,15,18,53,56,62,62,66,67,84,13,17,18,30,33,35,17,29,72,73],
[49,51,52,20,20,23,66,93,31,32,9,9,9,2,2,2,78,101,84,89],
[68,69,70,38,47,47,48,54,2,2,39,64,78,62,82,89,48,52,31,34],
[40,44,50,9,9,11,44,59,25,30,1,1,1,9,12,12,62,73,62,65],
[77,77,78,40,57,66,31,39,2,2,31,46,55,55,61,68,7,9,12,16],
[73,74,84,33,34,35,53,69,59,72,28,29,30,87,87,105,22,28,44,46],
[48,54,68,79,81,93,24,37,21,21,72,77,96,85,96,98,32,44,50,58],
[65,80,86,77,91,97,55,56,61,77,46,52,60,44,46,47,108,128,13,15],
[28,32,33,15,15,15,62,64,3,3,56,66,86,17,19,21,56,80,61,75],
[13,13,19,44,50,52,53,68,90,115,1,1,1,20,32,32,33,35,57,76],
[25,35,35,44,48,60,53,56,66,68,47,49,64,41,43,44,61,74,23,32],
[71,84,94,71,74,81,20,22,31,35,57,65,66,56,57,69,11,13,43,47],
[13,15,16,31,40,40,47,53,65,71,7,7,7,46,57,57,75,77,59,61],
[35,48,49,14,15,19,14,15,65,69,58,83,86,83,88,97,13,14,47,49],
[23,23,25,69,87,91,30,51,109,110,79,89,116,47,58,62,42,70,29,39],
[23,26,40,82,87,90,78,108,35,41,24,28,32,86,90,96,89,108,56,78],
[28,30,34,64,68,75,53,69,53,53,59,67,70,60,66,68,67,73,1,1],
[67,84,103,17,24,25,19,28,9,12,26,31,39,9,10,12,38,44,44,52],
[66,83,83,60,63,65,69,106,70,83,17,26,27,7,8,10,40,45,8,10],
[81,92,100,75,79,81,68,76,5,6,24,26,30,85,86,97,57,95,8,9],
[50,58,63,56,64,68,29,43,35,35,95,106,110,1,1,1,1,1,58,64],
[27,32,33,48,56,64,27,28,1,1,56,59,64,52,62,63,6,8,59,66],
[45,45,51,3,3,4,3,3,13,14,27,29,32,30,30,33,40,46,64,104],
[8,9,9,1,1,1,92,100,62,78,59,62,74,94,112,115,14,15,85,87],
[71,78,86,4,5,5,39,46,10,11,6,7,8,67,74,96,14,14,54,60],
[45,69,82,68,79,82,56,57,27,35,56,59,65,13,16,17,22,32,31,41],
[44,46,68,59,64,77,3,3,39,55,68,83,97,4,5,6,102,107,30,30],
[34,39,40,64,74,86,39,50,7,7,8,9,9,45,52,56,83,91,49,55],
[8,10,13,27,29,33,44,47,45,63,43,46,46,63,69,73,24,33,26,33],
[65,67,68,36,40,53,1,1,80,90,67,82,85,9,9,11,108,115,73,107],
[54,57,76,69,73,84,56,66,4,4,44,45,47,81,84,107,36,46,83,98]
];
OpDue = [2109,1181,2006,1339,1405,2355,1663,1332,1357,1013,896,1939,1891,1589,1912,1581,1699,1816,1413,1424,1479,1546,1105,1184,1718,1837,2081,1345,1425,1579,1571,1464,1472,1985,2125,1659,1088,1549,1789,1429,1213,1017,1793,1172,1470,1566,1450,1243,1939,1881];
