nbJobs =50;
nbStages =8;
nbMach =[0,2,2,3,3,2,2,3,3];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[40,51,28,30,61,62,64,21,22,25,20,23,21,27,72,73,87,79,86,112],
[33,49,18,22,26,44,48,40,55,59,62,78,40,47,21,27,28,42,47,49],
[56,64,12,15,66,73,78,36,37,40,76,97,65,77,69,80,88,40,40,43],
[79,92,9,12,3,4,4,15,16,16,62,70,57,65,76,77,91,4,6,6],
[97,113,78,86,15,15,16,60,64,70,28,42,8,10,74,78,89,15,19,21],
[47,50,15,15,72,84,101,57,63,78,86,110,14,18,35,36,42,66,79,81],
[13,15,86,94,2,5,6,43,44,50,39,48,47,54,48,51,59,66,74,89],
[18,28,36,38,7,10,10,61,89,108,19,33,38,45,92,108,110,21,23,24],
[2,2,59,76,32,32,40,13,13,14,73,83,82,93,84,87,99,81,98,111],
[19,21,70,90,83,112,114,48,48,52,61,64,55,61,49,68,70,73,82,92],
[58,78,33,41,67,79,80,19,21,22,56,57,101,108,27,29,29,75,83,105],
[1,1,83,86,57,68,90,1,1,1,41,51,8,11,38,47,51,7,7,9],
[77,78,46,51,85,93,105,63,89,108,51,52,55,56,5,6,8,62,81,89],
[66,90,36,37,78,86,100,64,102,108,13,13,80,92,50,67,68,8,9,10],
[13,17,72,99,22,24,25,39,40,54,14,15,3,3,77,107,123,65,66,79],
[36,50,84,89,58,63,67,3,3,3,63,69,63,81,75,94,103,15,18,19],
[93,98,61,63,76,84,88,61,86,97,42,44,50,51,63,70,82,79,94,98],
[28,33,73,84,54,61,65,67,82,84,13,18,38,40,6,7,8,3,3,3],
[48,48,36,45,75,80,82,25,26,38,28,30,86,88,20,22,25,5,7,8],
[1,1,30,39,14,14,17,66,80,94,79,100,93,106,64,79,82,32,34,35],
[35,44,54,64,2,2,2,44,54,59,82,86,73,85,3,3,3,76,79,83],
[45,51,68,75,3,3,3,69,84,99,89,92,86,95,5,6,7,21,26,28],
[47,57,5,5,3,3,3,57,66,74,55,69,51,53,12,12,13,13,19,19],
[62,83,62,66,48,53,63,42,60,65,17,18,67,69,86,87,94,24,26,30],
[48,83,70,83,88,102,106,7,7,10,1,1,57,57,2,2,2,61,64,69],
[24,27,12,13,36,59,70,58,65,66,53,59,67,70,45,59,75,67,79,81],
[75,84,20,22,47,50,54,18,18,26,16,17,88,115,43,45,55,56,66,68],
[43,49,72,84,54,66,75,38,50,63,2,2,85,100,9,12,13,35,41,51],
[75,83,38,42,27,29,35,56,68,75,5,6,88,100,27,29,39,41,49,54],
[23,24,32,45,13,15,16,33,37,47,61,66,64,67,46,63,75,45,60,75],
[45,50,11,11,34,47,58,21,25,30,72,98,25,25,6,7,10,21,23,25],
[15,18,20,28,29,33,37,44,49,74,53,60,77,96,43,59,60,26,34,38],
[52,60,25,37,11,14,14,41,66,68,55,65,39,54,3,3,3,63,83,87],
[12,12,91,115,57,76,80,79,89,97,24,31,110,110,43,45,50,2,2,4],
[100,106,10,10,64,76,86,22,32,35,8,8,14,16,83,83,105,78,85,93],
[82,97,33,34,69,77,85,38,42,54,64,99,68,86,36,41,44,8,9,10],
[60,74,9,10,44,48,56,18,25,32,12,20,56,69,53,54,60,33,36,38],
[39,44,86,101,22,24,28,27,36,39,33,38,29,30,53,62,67,15,15,23],
[5,6,9,10,70,71,71,16,18,21,70,75,27,32,57,57,73,67,72,74],
[1,1,99,100,102,103,104,23,30,31,66,74,41,48,9,10,20,34,38,40],
[46,51,65,93,6,6,8,25,33,36,27,31,98,142,7,8,10,55,77,84],
[38,57,56,67,79,85,104,31,44,46,39,51,26,30,8,9,10,45,49,51],
[3,3,39,75,18,24,28,79,79,87,36,42,100,103,7,8,8,19,19,20],
[39,44,88,97,61,65,77,42,59,68,43,43,23,26,77,85,102,3,3,3],
[99,114,3,5,11,15,16,21,24,29,48,49,50,57,22,24,30,17,22,23],
[41,47,55,58,82,88,116,69,87,87,55,110,89,96,24,26,31,75,100,105],
[3,3,44,50,44,53,59,87,90,92,71,76,45,68,11,15,22,38,40,43],
[19,25,62,92,69,72,90,20,27,28,43,49,24,29,35,36,51,103,110,113],
[58,67,61,80,36,46,50,58,76,79,84,97,1,1,65,74,86,39,39,39],
[59,64,1,1,38,38,49,40,80,89,65,65,59,65,89,93,99,45,46,64]
];
OpDue = [1499,1346,1844,1316,1639,1769,1508,1394,1879,2070,1912,1067,1991,1854,1433,1765,2308,1245,1369,1713,1593,1674,1076,1792,1493,1663,1602,1550,1579,1464,1083,1435,1382,1842,1667,1810,1283,1348,1357,1585,1579,1476,1330,1666,1189,2289,1512,1691,1814,1785];
