nbJobs =50;
nbStages =5;
nbMach =[0,2,2,3,2,3];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[75,91,83,100,53,61,75,3,4,71,82,94],
[52,61,31,33,14,15,16,24,25,20,21,22],
[30,43,58,70,85,101,106,44,44,47,51,60],
[52,75,60,70,60,65,66,75,98,50,57,58],
[6,6,12,13,64,65,68,10,10,35,40,44],
[85,94,24,29,18,19,21,77,82,85,89,102],
[3,3,37,42,11,13,18,26,30,67,86,88],
[75,85,67,83,66,70,79,11,17,56,59,63],
[95,103,56,66,54,64,70,76,90,39,58,64],
[34,35,98,120,76,92,94,75,76,42,56,57],
[92,95,33,40,71,75,92,32,35,39,50,52],
[71,93,26,30,7,7,9,65,89,23,33,37],
[36,45,66,95,25,25,26,99,104,26,26,29],
[46,67,4,6,43,43,46,21,29,53,58,64],
[43,45,51,59,17,21,21,28,29,65,84,93],
[44,60,21,26,74,84,87,100,105,69,71,98],
[45,45,68,88,99,107,114,3,3,36,38,51],
[81,103,45,48,37,38,38,58,74,49,52,56],
[49,58,34,41,14,15,18,63,89,20,26,28],
[68,100,94,114,3,3,3,47,52,38,42,48],
[72,79,24,25,27,27,30,50,63,51,51,58],
[44,46,58,76,69,82,83,2,2,55,59,77],
[48,48,79,114,8,8,9,53,56,25,31,31],
[14,16,29,30,13,14,15,33,37,40,40,48],
[37,51,40,48,81,94,116,23,27,46,48,59],
[23,24,64,99,52,71,84,68,75,37,42,45],
[46,55,80,90,56,72,75,78,90,51,70,72],
[54,61,33,43,13,15,18,62,73,51,53,57],
[26,27,59,86,53,59,64,89,111,55,69,82],
[15,22,75,75,93,111,125,34,36,8,8,11],
[32,45,33,34,34,45,66,93,118,21,35,41],
[15,17,3,5,75,85,96,9,9,21,25,31],
[73,74,42,49,18,23,34,19,20,33,34,42],
[31,35,41,56,89,95,104,65,96,50,53,54],
[24,35,63,66,36,39,39,66,74,29,29,42],
[64,69,86,100,59,61,76,88,116,77,93,96],
[72,93,75,95,71,76,94,57,60,45,50,56],
[90,106,21,28,60,97,107,14,18,5,7,7],
[9,11,53,61,43,56,64,6,8,36,43,49],
[69,75,7,7,12,12,14,45,64,47,58,69],
[11,13,36,37,105,106,137,61,86,41,44,52],
[2,3,27,28,78,94,95,25,29,85,88,98],
[49,63,17,37,29,34,34,74,93,59,64,79],
[74,84,31,52,77,81,81,6,8,61,69,92],
[69,70,83,95,72,73,89,84,94,100,121,131],
[75,77,33,41,4,5,6,57,60,15,20,22],
[3,3,15,23,97,98,103,29,40,43,51,65],
[49,50,27,30,86,94,99,26,31,77,82,98],
[21,23,56,73,64,72,77,43,54,20,22,23],
[87,108,90,95,49,64,69,49,52,70,71,85]
];
OpDue = [1617,745,1473,1668,669,1534,824,1500,1797,1790,1449,1128,1374,944,1139,1695,1372,1473,1037,1416,1189,1278,1182,681,1305,1434,1758,1160,1632,1236,1291,700,999,1552,1177,2078,1783,1164,855,1021,1418,1182,1331,1406,2214,978,1044,1426,1138,1882];
