nbJobs =50;
nbStages =5;
nbMach =[0,3,2,3,3,3];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[54,81,87,14,17,13,14,14,79,86,90,39,45,50],
[59,70,73,18,22,13,16,16,43,44,58,34,48,55],
[79,82,83,71,114,47,61,64,6,7,7,49,56,59],
[53,58,66,33,50,65,68,77,46,56,57,66,79,88],
[17,19,21,76,80,73,79,83,75,79,88,51,57,57],
[87,88,129,11,12,37,39,39,60,65,66,21,23,27],
[49,61,65,32,50,20,20,35,35,43,55,48,50,54],
[22,24,24,39,47,45,58,73,37,58,72,11,13,15],
[16,21,23,84,84,16,18,19,13,14,17,61,74,84],
[37,38,41,56,66,73,80,103,16,17,22,20,21,26],
[70,73,78,24,26,29,36,40,41,49,55,63,65,72],
[79,91,120,69,75,44,50,64,53,60,70,66,70,85],
[61,63,66,97,97,38,44,49,76,82,95,2,2,2],
[5,6,8,31,40,80,107,118,3,4,6,15,17,21],
[36,38,53,93,117,20,26,30,35,36,53,31,44,50],
[65,74,81,2,6,63,68,72,56,70,74,15,17,20],
[44,44,50,24,31,72,83,95,23,32,39,14,14,19],
[44,67,83,16,18,54,70,81,28,31,44,47,50,73],
[28,32,40,66,89,66,69,69,39,44,50,62,62,85],
[25,30,32,9,13,73,78,79,40,57,59,69,75,93],
[41,47,55,59,66,8,17,19,13,16,16,62,64,67],
[9,11,11,73,86,43,47,51,8,8,11,33,39,56],
[77,80,92,89,91,39,44,46,28,30,32,34,36,38],
[60,69,73,82,88,14,15,16,79,85,88,63,93,99],
[75,98,104,25,27,53,62,72,64,64,69,23,26,27],
[69,76,101,53,62,54,75,78,95,100,107,27,36,41],
[42,66,83,86,87,73,73,93,62,82,83,63,65,70],
[59,65,66,33,41,22,24,26,59,61,64,17,22,22],
[49,55,102,42,45,23,24,27,87,100,120,61,63,82],
[32,33,40,67,80,2,2,2,16,17,18,22,25,31],
[48,73,97,25,32,66,72,91,66,68,75,26,28,29],
[4,4,5,78,94,38,43,47,36,36,43,56,68,72],
[23,35,36,40,42,87,117,120,28,29,34,65,71,73],
[24,25,29,30,51,16,16,18,52,73,89,52,62,75],
[22,24,25,15,17,88,100,103,82,91,104,13,13,14],
[75,82,103,35,52,13,14,18,2,6,6,34,40,60],
[57,63,64,9,10,34,34,40,43,61,75,81,100,122],
[90,103,104,22,31,30,31,45,46,46,55,84,85,96],
[88,100,104,59,79,57,61,64,48,51,57,87,112,113],
[79,83,108,93,113,7,8,11,19,22,26,17,26,33],
[51,52,53,28,28,43,50,54,61,67,94,58,70,72],
[7,10,10,53,58,84,85,88,32,38,38,76,90,108],
[64,74,98,84,100,73,78,106,6,7,8,12,13,16],
[49,60,66,30,56,84,91,110,53,65,73,31,39,43],
[52,52,62,58,79,27,30,33,11,15,16,78,83,103],
[8,8,9,7,7,60,64,72,32,40,46,62,89,91],
[44,49,55,60,73,90,91,92,12,13,16,22,25,28],
[96,100,128,28,40,5,7,7,33,34,35,23,30,34],
[39,40,46,12,16,76,104,112,42,48,49,6,6,7],
[75,75,86,36,44,11,15,15,9,9,9,28,30,32]
];
OpDue = [1164,982,1463,1506,1555,1192,1097,968,1047,1128,1243,1780,1452,828,1278,1145,1019,1205,1464,1238,1021,942,1410,1682,1358,1719,1858,1030,1539,768,1374,1183,1402,1088,1212,973,1338,1491,1915,1247,1348,1388,1385,1488,1279,1003,1228,1057,1028,857];
