nbJobs =50;
nbStages =8;
nbMach =[0,3,3,2,2,2,3,3,3];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[11,14,15,29,30,30,24,28,39,43,4,6,22,26,29,52,53,67,38,39,61],
[66,66,73,86,98,105,42,60,15,16,41,47,62,83,85,8,9,10,32,41,42],
[28,31,31,55,61,62,60,73,33,39,47,49,34,35,38,18,23,24,51,70,81],
[16,16,17,17,17,19,46,69,76,79,45,46,71,71,73,14,16,16,81,90,94],
[21,22,23,33,34,36,71,75,31,33,45,47,17,20,27,88,89,91,74,76,77],
[48,51,60,27,31,34,71,75,68,71,54,86,59,61,69,33,40,46,12,13,14],
[47,67,77,41,57,62,61,67,23,28,97,110,3,3,3,63,74,81,26,34,36],
[66,78,85,41,43,49,44,55,5,7,13,18,7,8,8,8,10,12,22,24,25],
[72,91,94,29,39,51,46,51,5,6,13,14,10,10,12,39,44,53,24,30,32],
[13,16,16,74,88,95,51,56,50,65,85,95,9,10,11,38,42,47,87,96,107],
[53,59,64,2,2,2,84,99,6,8,39,51,33,42,45,28,28,29,4,6,6],
[46,53,60,39,44,45,19,22,97,124,74,84,33,45,83,22,27,31,39,45,54],
[65,69,71,68,83,96,37,37,34,43,95,122,8,9,9,11,14,15,87,90,131],
[82,91,104,42,45,46,24,24,50,73,19,22,13,14,16,46,59,73,31,31,43],
[75,75,76,73,83,99,81,91,82,100,79,95,74,88,89,41,57,62,22,24,32],
[67,70,80,61,77,87,15,17,46,53,6,8,77,80,102,35,36,40,47,56,63],
[97,98,102,85,96,99,32,37,88,92,76,86,2,2,2,6,8,9,58,88,93],
[76,93,112,76,83,89,17,29,67,68,91,109,27,27,29,16,21,24,6,6,6],
[33,44,47,73,86,96,75,77,60,64,63,85,61,62,70,46,49,56,31,35,39],
[59,65,81,55,59,66,43,84,81,89,3,4,57,59,76,80,82,108,99,101,108],
[24,24,24,7,8,9,44,45,82,88,55,58,72,79,86,46,49,49,46,57,62],
[19,24,26,5,7,7,7,8,58,62,55,61,18,21,24,22,27,34,4,5,5],
[41,44,50,55,63,72,91,112,50,64,58,82,18,22,22,85,92,102,42,44,52],
[54,55,64,3,3,3,82,106,20,21,19,21,3,3,3,2,2,2,62,99,102],
[18,22,26,18,21,24,21,23,97,113,16,18,37,38,52,1,1,1,5,8,8],
[76,88,108,43,51,52,59,60,60,66,62,70,46,51,63,66,87,92,44,45,53],
[60,64,72,56,67,97,3,3,68,73,84,99,39,57,63,7,8,9,47,53,64],
[10,12,13,80,93,102,46,47,29,30,50,54,98,99,103,7,7,8,76,79,81],
[37,38,44,67,75,82,65,86,88,91,71,81,7,14,15,53,76,79,63,70,71],
[42,46,60,40,57,65,103,109,59,70,3,3,13,16,16,48,55,66,13,14,15],
[31,34,42,3,3,4,13,17,66,79,17,27,3,3,3,41,43,47,87,94,96],
[40,58,63,43,65,84,40,44,8,9,10,13,1,1,1,37,39,46,91,93,110],
[23,26,26,15,15,18,59,62,98,98,10,11,80,83,96,7,8,8,62,111,114],
[57,71,79,25,29,30,71,74,60,94,46,59,69,78,103,92,95,119,58,63,65],
[3,3,3,75,80,89,59,84,2,2,25,32,77,82,98,3,3,3,44,65,100],
[30,39,40,79,80,97,50,50,53,53,38,41,2,2,2,69,69,79,12,16,23],
[70,81,85,53,54,66,21,23,6,7,48,57,13,14,16,51,54,54,100,106,108],
[26,29,30,66,69,72,58,66,13,19,15,17,51,51,63,20,23,27,95,98,101],
[39,49,51,46,47,58,86,111,53,71,42,53,41,50,56,29,30,43,16,19,21],
[45,48,79,22,24,28,7,9,3,3,3,3,37,48,49,69,86,92,50,60,62],
[1,1,1,79,90,113,29,34,57,67,53,74,21,25,26,32,32,33,22,28,31],
[45,53,56,53,59,61,57,61,12,12,63,64,89,103,127,59,77,80,74,80,86],
[51,52,54,35,47,58,36,41,48,52,87,95,70,96,101,46,50,57,33,45,47],
[10,11,12,43,51,55,67,72,75,75,1,1,46,62,79,68,89,132,8,11,13],
[92,100,107,87,97,97,61,68,14,17,34,43,68,94,98,45,50,58,19,21,23],
[28,35,37,35,36,38,52,71,44,53,50,64,5,6,7,37,51,69,30,39,43],
[5,7,7,7,9,11,45,48,28,48,56,57,10,14,16,41,50,51,77,78,84],
[36,38,46,66,72,83,41,44,14,14,40,42,74,91,98,73,84,86,69,77,89],
[79,93,98,60,79,83,65,67,14,15,12,15,84,90,114,59,69,76,53,55,70],
[30,33,35,90,97,99,10,11,17,20,30,41,52,53,64,76,82,88,95,99,106]
];
OpDue = [976,1597,1458,1559,1575,1647,1671,932,1110,1803,1111,1728,1837,1405,2349,1594,1949,1683,1952,2148,1600,833,1986,1151,949,2041,1677,1669,2019,1449,1150,1277,1599,2185,1379,1422,1557,1471,1625,1121,1341,2007,1841,1502,1882,1329,1187,1833,1925,1723];
