nbJobs =100;
nbStages =5;
nbMach =[0,2,3,2,2,2];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[49,56,66,81,83,29,33,17,20,11,13],
[76,80,21,25,31,59,75,27,29,89,92],
[100,131,90,102,107,2,2,27,34,48,53],
[27,28,57,57,81,46,61,2,2,44,44],
[80,104,32,40,43,50,69,4,5,70,94],
[31,34,71,77,83,71,86,79,84,80,91],
[38,43,64,66,69,45,61,21,22,58,61],
[72,77,85,86,87,60,74,42,71,26,36],
[93,101,49,57,64,97,145,20,21,64,76],
[64,80,55,56,63,106,110,89,103,57,57],
[73,84,70,71,84,26,29,22,22,28,37],
[20,29,45,47,50,28,33,63,73,53,59],
[39,56,88,88,92,67,84,86,89,3,3],
[25,27,19,22,24,60,72,85,108,70,99],
[86,100,36,38,48,66,82,14,16,83,95],
[16,16,30,53,65,43,48,89,113,10,10],
[47,53,10,11,12,62,73,81,102,56,58],
[75,92,62,67,67,39,43,61,84,19,20],
[83,84,21,26,32,43,67,16,22,53,84],
[59,89,71,72,78,111,114,10,11,94,100],
[25,35,56,87,94,99,113,94,106,46,63],
[56,67,68,76,96,12,12,94,112,86,97],
[41,43,41,42,44,47,49,49,63,7,15],
[52,55,51,59,61,83,93,81,81,82,88],
[87,87,31,33,50,32,40,16,17,54,71],
[77,93,86,99,100,63,93,76,83,31,37],
[37,39,24,45,58,61,71,68,73,39,39],
[42,66,83,96,105,62,79,57,73,36,45],
[68,84,24,32,33,49,62,33,39,91,91],
[55,70,50,54,62,55,74,109,122,89,95],
[97,97,15,18,21,1,1,92,104,76,76],
[19,21,54,56,57,40,56,61,70,47,49],
[86,91,16,18,21,7,9,33,43,32,43],
[28,36,54,69,80,6,9,38,40,11,14],
[24,28,27,34,35,21,29,13,14,61,67],
[42,43,61,65,77,65,80,23,23,51,60],
[6,7,75,86,100,6,7,65,105,63,67],
[39,67,58,67,71,7,9,93,96,13,14],
[35,39,38,39,46,63,65,27,29,23,30],
[21,28,67,96,99,32,36,76,84,17,18],
[47,65,68,79,85,77,82,35,48,79,88],
[13,18,44,45,48,57,81,22,27,4,5],
[52,78,55,64,78,47,81,84,96,75,79],
[1,1,10,11,12,37,39,3,3,31,32],
[72,74,25,32,33,13,16,95,111,74,100],
[49,63,52,57,73,25,30,23,46,73,83],
[61,82,47,52,63,16,18,63,72,43,54],
[85,93,89,90,118,72,95,9,11,80,96],
[14,18,52,66,68,87,95,55,65,45,62],
[40,42,35,38,40,68,93,76,83,90,114],
[84,93,45,50,65,10,17,57,70,59,64],
[61,71,70,88,95,39,82,55,61,92,93],
[13,21,38,42,49,8,8,63,86,2,2],
[86,95,75,102,103,7,7,45,69,43,44],
[53,83,16,22,25,48,51,57,70,43,50],
[69,74,50,65,67,32,37,77,93,31,35],
[94,99,46,64,68,35,37,93,100,84,96],
[38,46,47,51,58,44,51,3,3,71,77],
[15,17,71,91,95,39,43,45,53,10,12],
[44,48,8,8,9,53,58,16,17,5,6],
[1,1,61,68,69,57,62,37,45,65,71],
[101,112,38,39,47,19,22,61,73,54,62],
[52,72,86,91,94,69,88,50,62,110,127],
[53,58,82,96,98,40,56,26,28,13,14],
[49,52,22,31,39,81,102,97,110,82,95],
[7,13,66,86,98,76,104,39,50,30,45],
[89,92,60,88,89,14,14,111,113,9,11],
[72,80,84,84,97,71,83,17,27,110,117],
[35,51,45,45,58,38,40,55,60,90,93],
[98,115,18,24,27,31,45,23,26,78,94],
[94,112,9,12,13,20,21,19,21,70,73],
[9,10,18,19,21,46,51,62,75,19,26],
[91,94,9,10,12,45,52,103,104,17,18],
[42,49,75,78,101,27,30,47,51,84,101],
[16,18,76,81,92,13,16,103,104,9,13],
[81,106,32,35,35,79,99,18,18,42,63],
[67,82,11,11,14,95,105,78,86,57,62],
[19,23,18,21,23,58,82,29,32,60,67],
[61,76,58,73,80,75,85,66,97,54,75],
[11,11,21,22,28,39,48,18,26,47,55],
[83,101,41,53,54,23,25,52,63,23,26],
[19,19,55,57,66,5,5,41,43,96,98],
[105,109,64,66,78,25,30,75,101,35,47],
[83,110,20,20,23,30,37,33,35,48,66],
[24,27,38,45,66,48,60,37,39,67,70],
[82,95,4,5,7,85,94,38,54,88,104],
[41,42,71,81,81,101,103,2,2,52,64],
[60,61,7,7,8,36,40,6,8,2,2],
[43,51,78,79,79,31,34,8,10,36,48],
[26,39,43,78,82,23,27,53,79,84,86],
[116,118,26,42,42,43,59,78,100,36,52],
[2,2,8,8,10,51,73,55,73,51,59],
[83,93,49,59,71,39,48,76,90,15,17],
[45,69,27,28,46,78,82,85,87,80,111],
[21,22,41,44,49,45,47,69,105,78,85],
[42,62,13,13,16,73,81,28,30,5,5],
[11,11,2,2,2,24,27,50,66,52,89],
[14,16,18,18,20,7,9,1,1,6,9],
[75,78,52,53,57,43,49,82,106,37,40],
[72,72,79,99,106,27,30,61,76,3,4]
];
OpDue = [1525,2313,2385,1536,2211,2840,1927,2520,2921,3128,1884,1811,2423,2357,2493,1775,2216,2255,2019,2941,2956,2784,1595,2916,1920,2972,2047,2597,2305,3119,2320,1897,1523,1269,1284,2089,2000,1875,1572,1947,2703,1273,2893,676,2460,2053,2068,2956,2260,2725,2243,2891,1156,2331,1988,2277,3027,1748,1621,1055,1884,2347,3243,1888,2917,2123,2444,3015,2243,2224,1811,1347,2179,2401,1832,2296,2624,1645,2919,1209,1979,1779,2663,1936,1885,2603,2249,919,1673,2209,2701,1533,2321,2817,2245,1416,1336,401,2472,2137];
