nbJobs =100;
nbStages =5;
nbMach =[0,2,2,3,3,3];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[71,81,19,27,42,45,45,67,81,87,61,68,76],
[4,7,41,59,23,28,36,21,24,25,71,84,121],
[51,72,63,80,88,88,92,26,32,33,40,42,47],
[1,1,40,59,26,31,38,105,119,125,15,17,21],
[61,63,83,86,5,5,6,46,48,52,46,68,69],
[62,75,62,88,90,95,96,20,21,22,93,95,104],
[26,36,80,88,61,76,79,44,48,54,54,57,70],
[77,95,35,36,15,16,20,62,77,78,30,32,36],
[47,48,31,33,89,93,109,44,47,67,5,6,6],
[58,61,44,56,19,22,26,77,84,90,81,88,96],
[34,34,30,40,17,17,19,24,29,35,50,53,60],
[20,27,72,93,36,41,41,39,52,68,55,69,70],
[81,90,14,17,11,12,12,18,20,21,22,28,30],
[16,17,69,77,13,14,14,77,103,104,86,92,100],
[9,10,29,29,57,61,66,60,67,89,34,39,53],
[9,10,17,17,81,90,106,69,72,91,87,90,95],
[85,98,86,93,8,9,11,63,66,75,2,2,2],
[60,63,48,57,36,42,44,51,52,53,29,34,48],
[16,17,71,86,14,17,21,87,89,93,50,55,64],
[11,17,6,7,93,98,100,94,97,120,41,44,57],
[46,67,46,51,86,87,94,26,29,30,11,16,17],
[57,63,16,16,46,51,54,14,14,16,62,71,72],
[60,66,80,80,5,5,6,2,2,2,81,82,114],
[66,115,72,87,10,11,11,87,100,117,7,8,9],
[50,50,54,70,25,27,38,32,34,39,25,30,36],
[30,39,34,45,77,80,104,9,15,15,29,31,38],
[47,47,97,108,12,16,17,67,72,87,97,104,110],
[56,61,56,98,69,75,79,53,57,86,9,9,13],
[31,44,47,80,46,59,61,19,21,25,75,76,103],
[19,21,60,68,27,31,42,51,76,83,45,48,58],
[25,29,59,81,41,44,55,25,26,27,12,14,14],
[34,35,86,89,29,47,55,15,17,18,45,51,59],
[17,22,81,91,65,70,72,38,56,63,94,94,95],
[36,44,12,13,37,38,45,97,112,114,52,60,60],
[25,30,30,38,32,38,42,19,19,21,59,66,67],
[7,9,27,29,32,35,36,79,86,96,76,76,87],
[88,105,44,45,11,12,15,11,21,21,21,28,32],
[6,7,13,13,86,88,94,72,73,76,59,70,81],
[67,74,22,24,88,94,100,84,103,117,65,78,95],
[97,98,73,99,30,35,40,21,22,24,73,79,98],
[76,98,13,19,78,83,95,71,75,76,8,8,8],
[56,70,3,4,34,37,45,76,89,96,59,75,90],
[44,48,59,81,5,5,8,36,43,50,21,23,24],
[87,91,46,70,10,15,15,41,43,43,59,66,82],
[34,36,57,64,64,75,82,12,16,17,32,35,36],
[99,107,14,19,3,3,3,22,27,29,80,92,100],
[23,33,106,109,21,21,22,35,39,43,12,13,13],
[38,43,59,61,8,9,10,18,27,27,35,37,42],
[60,81,7,8,46,66,66,64,72,74,69,72,86],
[9,11,43,53,62,77,90,36,42,60,8,10,10],
[13,17,81,87,1,1,1,31,44,49,90,103,110],
[26,45,34,36,12,15,15,10,12,14,49,56,66],
[8,9,90,91,51,56,67,31,37,45,21,25,30],
[23,33,3,4,17,29,31,64,66,80,49,84,100],
[43,44,60,85,71,78,86,58,62,82,90,95,95],
[11,12,13,15,8,8,9,5,13,15,8,9,9],
[22,25,37,43,25,30,37,9,10,11,12,13,16],
[3,3,59,61,56,59,68,61,72,79,11,12,13],
[37,47,97,121,17,19,20,46,58,69,45,56,61],
[23,31,34,44,43,56,56,6,6,7,61,68,98],
[53,55,75,81,71,91,101,65,87,93,19,22,22],
[33,33,78,97,103,117,118,81,82,102,42,44,46],
[71,74,53,64,23,27,34,61,62,65,47,60,70],
[57,107,12,18,20,36,39,28,40,45,65,85,88],
[53,53,33,35,81,95,117,66,76,77,22,28,31],
[31,37,53,82,67,83,112,31,45,62,71,78,115],
[84,88,32,43,21,21,22,9,10,10,9,11,13],
[79,99,11,13,58,60,86,80,81,125,37,40,40],
[58,67,27,47,27,41,45,8,9,9,69,72,77],
[20,28,39,72,44,54,56,24,27,32,82,87,87],
[9,9,47,63,80,111,118,83,90,93,82,104,119],
[83,90,86,101,92,94,125,88,93,99,3,5,5],
[67,79,16,17,17,22,25,41,46,51,70,78,85],
[45,45,28,30,13,15,18,45,53,59,13,16,21],
[61,70,52,54,7,8,14,68,84,90,21,25,26],
[85,87,73,85,59,79,81,51,56,66,43,55,70],
[17,26,20,31,45,62,90,91,95,104,30,34,42],
[5,6,13,14,46,51,59,93,102,118,9,13,14],
[52,77,33,44,18,21,25,81,86,94,68,68,93],
[20,23,50,63,72,72,103,38,43,44,82,83,99],
[19,22,39,46,81,82,98,60,93,97,52,58,69],
[113,124,88,97,21,23,23,61,62,70,68,69,85],
[43,57,86,86,10,10,15,24,25,27,51,53,80],
[39,39,11,15,82,87,88,18,25,25,78,88,110],
[56,58,4,4,41,51,51,47,60,66,41,63,67],
[59,66,49,64,74,80,97,36,37,39,31,38,40],
[62,81,45,53,29,31,35,51,58,72,52,76,95],
[36,78,86,92,48,54,61,60,63,78,48,52,55],
[39,41,65,92,73,74,96,4,5,6,41,47,47],
[58,79,30,34,10,19,22,54,70,77,30,33,39],
[42,47,5,5,47,49,52,45,50,51,8,8,11],
[33,44,35,40,39,44,45,14,19,24,34,38,47],
[40,55,46,65,84,104,112,2,2,2,67,68,79],
[38,46,44,51,74,82,99,19,32,35,49,51,54],
[54,55,75,91,99,112,112,35,43,48,1,1,1],
