nbJobs =100;
nbStages =8;
nbMach =[0,2,3,2,2,3,3,3,3];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[24,38,23,33,33,70,92,108,114,57,61,65,40,43,46,20,37,39,30,37,44],
[1,1,4,4,6,80,82,47,76,101,101,105,25,27,32,27,28,32,33,37,38],
[33,38,34,37,46,20,21,43,54,28,29,43,48,55,63,35,36,38,70,84,87],
[55,81,8,8,9,66,87,41,45,56,75,77,65,79,93,33,40,44,58,71,78],
[14,21,26,31,31,39,50,38,40,64,72,83,47,63,66,94,100,114,83,91,114],
[78,93,49,52,55,24,24,75,86,69,77,84,46,61,66,39,45,56,58,67,69],
[60,66,6,6,7,72,92,57,64,70,90,111,41,43,48,18,21,24,75,76,96],
[6,7,59,71,79,51,77,20,23,26,31,31,52,55,60,5,6,7,78,87,104],
[19,22,92,107,116,60,72,1,1,65,71,71,25,26,27,9,9,10,21,27,27],
[12,12,67,72,81,3,3,21,23,10,16,16,98,111,116,33,34,37,58,59,62],
[73,97,2,4,5,33,39,24,28,93,96,104,31,34,38,15,15,17,53,57,69],
[82,94,7,8,8,48,68,30,48,20,24,25,46,47,51,11,13,15,36,40,41],
[74,95,12,18,20,54,82,42,50,77,89,99,55,67,68,20,21,25,5,5,5],
[55,64,47,52,53,83,97,17,22,40,53,60,46,54,56,94,98,100,19,20,22],
[61,77,80,95,96,58,63,60,61,32,35,37,52,56,60,53,68,73,23,25,32],
[54,63,54,62,63,45,48,45,47,26,47,49,15,23,24,1,1,1,92,93,113],
[37,59,37,40,67,56,71,57,65,56,60,72,86,91,115,79,80,98,41,54,54],
[92,94,70,84,93,32,37,30,31,38,50,54,40,59,66,56,57,64,90,98,106],
[87,94,27,29,34,56,76,64,64,48,53,59,36,45,51,4,5,5,13,14,17],
[76,93,47,47,59,68,87,10,11,58,61,66,4,5,7,71,93,96,89,89,95],
[31,35,13,15,17,60,72,23,32,1,1,1,55,58,58,35,35,37,20,23,26],
[55,71,56,74,86,22,27,21,24,3,3,3,10,14,15,49,57,61,57,59,64],
[48,68,91,97,115,24,30,62,77,10,14,17,64,68,82,65,83,89,8,9,10],
[63,70,69,75,77,86,105,72,76,6,7,8,26,27,27,70,76,82,22,25,28],
[62,67,59,71,74,96,117,77,93,34,35,40,14,16,17,56,66,71,78,85,91],
[21,27,18,19,21,59,79,87,100,73,74,84,1,1,1,14,22,22,50,53,63],
[40,61,1,1,1,26,40,92,109,33,42,45,26,33,36,11,14,16,5,6,8],
[37,44,37,38,47,5,6,77,95,45,48,48,11,12,14,38,40,46,48,49,53],
[58,71,49,55,68,40,45,76,85,76,77,92,42,43,49,32,44,45,25,25,32],
