nbJobs =50;
nbStages =8;
nbMach =[0,3,2,3,2,2,2,2,2];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[51,52,55,31,43,2,2,2,40,42,64,72,3,3,13,15,7,9],
[58,67,82,54,72,33,33,34,26,32,47,48,3,3,63,69,75,90],
[14,14,18,92,94,85,86,97,32,40,30,35,43,47,41,56,77,85],
[49,49,70,72,90,65,75,80,68,88,18,21,39,47,52,55,18,21],
[54,75,105,60,62,8,9,9,87,96,56,56,77,88,61,66,13,15],
[4,4,5,42,54,73,85,87,9,10,76,89,34,38,22,23,64,65],
[42,47,53,56,61,67,84,106,45,50,35,40,100,112,79,81,3,5],
[89,97,115,58,88,49,52,59,23,30,67,79,50,77,52,66,35,36],
[68,93,98,86,99,92,107,120,67,77,6,9,89,92,31,52,16,18],
[84,89,102,77,78,27,29,35,93,110,29,29,26,27,11,16,26,31],
[25,26,30,39,42,24,27,33,23,25,11,12,17,24,1,1,14,18],
[38,42,42,60,64,34,36,39,33,38,35,39,74,79,86,87,28,28],
[75,77,87,67,72,79,95,98,36,39,12,12,50,66,94,103,25,30],
[68,72,83,47,50,26,27,28,38,44,54,74,31,38,78,88,40,49],
[19,27,27,39,48,15,16,20,60,65,35,39,70,71,76,90,18,20],
[88,93,109,83,89,20,27,31,43,43,47,47,56,65,35,40,13,16],
[3,3,3,61,70,94,99,121,7,9,21,22,4,7,14,15,19,26],
[19,19,21,43,57,33,36,37,85,86,17,19,46,50,2,4,59,78],
[71,81,102,91,98,55,57,66,74,95,97,103,12,16,13,13,34,46],
[23,23,33,25,27,78,88,88,29,35,6,7,59,65,46,62,76,89],
[27,31,32,51,55,59,87,109,4,7,42,62,72,73,17,17,49,54],
[94,100,110,82,98,59,68,85,42,49,26,38,8,9,21,23,75,91],
[59,60,63,64,65,72,79,85,26,36,38,44,5,6,21,29,79,87],
[25,25,28,75,85,16,16,18,85,92,25,37,3,3,77,90,66,66],
[106,109,119,48,50,13,20,23,65,93,32,37,52,59,17,18,69,72],
[22,25,28,24,36,53,69,79,73,99,73,74,51,65,35,45,24,25],
[61,62,62,7,8,10,10,13,59,71,85,86,5,6,3,3,65,78],
[37,48,57,56,78,3,3,3,14,18,61,74,60,88,40,46,21,21],
[44,47,48,88,104,65,72,90,85,96,82,85,23,28,79,106,74,83],
[48,56,70,73,84,26,32,39,89,97,61,74,52,53,16,18,3,3],
[55,60,61,16,20,33,43,43,49,63,100,106,25,28,44,48,5,7],
[75,91,109,98,112,8,11,12,36,41,102,110,99,101,68,85,58,71],
[34,38,40,65,72,83,84,101,61,67,72,80,42,49,26,27,7,10],
[19,19,20,41,41,23,34,36,19,23,59,72,11,14,33,34,60,71],
[82,84,89,12,15,55,70,74,14,17,82,86,13,13,55,69,45,46],
[20,25,28,48,62,44,45,48,56,60,52,55,72,90,98,101,33,50],
[48,56,72,95,105,58,69,74,33,35,109,113,73,95,15,16,39,47],
[17,17,19,59,93,13,14,15,44,58,8,10,7,11,2,2,45,53],
[77,92,96,22,23,74,86,99,59,61,81,85,42,46,63,105,20,25],
[31,31,37,29,47,8,8,8,46,53,76,90,30,37,62,64,96,107],
[56,73,77,50,66,15,17,18,83,93,85,89,51,64,19,29,24,28],
[23,25,30,37,49,76,77,81,86,102,61,85,57,63,12,17,48,62],
[33,33,37,14,17,35,36,36,13,19,51,72,81,86,80,83,58,74],
[65,75,76,89,101,11,14,15,24,25,32,34,25,34,22,23,45,59],
[42,43,52,75,91,34,38,39,65,73,59,85,64,88,81,83,40,47],
[9,12,14,37,41,32,37,56,86,93,5,7,40,40,65,87,17,19],
[5,8,9,86,102,50,55,64,37,54,47,80,22,25,21,24,47,62],
[40,51,88,40,46,57,68,76,1,1,3,3,33,37,22,24,62,65],
[80,89,117,55,56,53,55,82,34,44,43,44,33,41,27,42,34,40],
[56,87,97,66,76,50,51,61,3,3,5,7,93,117,37,37,96,103]
];
OpDue = [903,1573,1763,1695,1821,1396,1866,1937,2055,1594,674,1610,1893,1667,1427,1645,981,1312,1960,1496,1466,1812,1557,1579,1744,1616,1243,1355,2354,1607,1415,2370,1663,1157,1539,1834,2053,911,1963,1638,1703,1774,1576,1367,2033,1287,1469,1181,1621,1822];
