nbJobs =100;
nbStages =5;
nbMach =[0,3,3,3,2,2];
nbWork =[0,2,2,2,2,2];
B=10000;
OpDurations = [
[68,68,79,47,61,73,34,48,50,6,6,79,80],
[76,80,87,7,8,8,15,18,19,6,7,25,39],
[38,41,46,3,4,5,33,43,48,66,74,33,37],
[18,21,27,61,70,80,38,41,42,73,108,54,67],
[63,91,117,43,43,46,74,88,114,23,25,33,40],
[50,70,81,81,86,88,39,39,41,8,11,15,18],
[58,68,71,87,104,128,51,55,58,39,39,54,71],
[30,33,40,88,89,109,37,37,49,63,72,32,34],
[9,9,10,17,22,22,26,33,42,68,80,8,10],
[21,21,24,69,80,95,1,1,1,18,25,39,41],
[30,41,46,74,74,88,54,86,97,14,14,17,19],
[39,48,50,51,55,65,24,27,32,44,46,88,99],
[44,44,60,16,17,24,63,91,94,61,71,72,83],
[8,9,9,44,48,62,29,48,57,72,86,53,66],
[53,59,66,39,59,72,74,84,112,35,57,27,27],
[78,95,101,37,39,40,42,43,45,45,51,27,37],
[72,89,95,33,39,42,72,76,84,21,25,10,10],
[8,10,13,48,63,86,3,3,3,37,41,73,81],
[77,79,87,75,119,120,86,92,99,31,47,3,3],
[66,69,90,2,5,5,46,77,81,12,13,15,15],
[79,89,94,35,43,48,7,12,14,108,122,16,16],
[77,84,88,31,33,35,94,97,104,55,56,79,80],
[12,16,17,18,30,37,7,8,12,17,22,57,62],
[90,102,106,67,80,102,4,4,5,75,82,33,36],
[92,102,102,76,104,131,45,52,64,15,15,7,9],
[62,80,108,32,41,46,43,45,65,70,89,2,2],
[32,36,37,30,30,36,13,14,14,66,71,44,45],
[5,5,7,10,11,15,1,1,1,25,33,75,91],
[59,78,91,15,19,21,1,1,1,37,44,9,12],
[25,34,34,25,33,34,53,68,75,40,50,20,22],
[21,27,30,55,65,86,83,109,115,54,66,8,9],
[4,6,7,20,20,22,40,44,45,68,68,6,13],
[30,33,35,87,92,99,49,64,66,85,94,63,68],
