nbJobs =100;
nbStages =8;
nbMach =[0,2,2,2,2,2,3,2,2];
nbWork =[0,2,2,2,2,2,2,2,2];
B=10000;
OpDurations = [
[3,3,7,7,2,2,6,7,3,3,51,63,79,66,72,74,80],
[100,105,22,27,4,4,65,73,52,60,78,81,90,6,7,61,61],
[31,34,52,59,73,89,8,10,45,54,97,112,113,6,7,5,5],
[10,10,37,50,33,39,31,35,122,128,43,47,54,34,46,14,16],
[2,2,56,62,7,8,85,86,69,73,14,20,23,71,71,29,31],
[51,65,100,107,16,17,3,3,26,31,65,65,77,83,98,31,33],
[20,26,42,55,20,23,84,93,101,110,46,49,56,2,2,96,105],
[6,6,16,16,70,73,97,104,48,48,95,95,112,60,70,35,40],
[76,104,20,21,70,107,47,70,29,33,37,50,58,18,22,32,38],
[12,13,20,25,81,124,52,78,53,57,76,81,84,29,29,47,50],
[17,17,16,17,68,73,32,34,53,91,7,8,8,69,90,7,7],
[46,56,76,83,30,30,63,77,98,109,25,30,34,68,106,37,43],
[91,99,11,14,78,80,40,50,25,36,68,71,77,63,80,22,32],
[61,75,84,89,70,73,55,56,16,18,44,50,63,30,31,50,58],
[48,55,4,4,81,84,25,35,19,25,63,88,90,20,37,108,112],
[59,71,62,74,97,111,24,26,57,58,94,99,103,87,102,58,77],
[9,13,53,65,57,95,90,103,9,13,3,3,3,44,45,29,33],
[28,39,27,31,101,114,19,22,31,35,35,40,41,84,114,79,107],
[45,56,28,28,3,3,26,27,60,70,51,54,58,78,83,66,81],
[47,50,52,64,79,82,16,19,2,2,65,71,71,56,63,31,36],
[31,51,11,17,50,54,57,62,45,63,30,31,36,62,65,66,70],
[83,121,34,43,37,39,34,36,7,10,2,3,3,26,27,3,4],
[20,30,45,69,74,82,32,48,65,84,24,24,27,41,42,41,54],
[101,103,55,66,58,73,66,82,70,98,1,1,1,54,57,56,94],
[54,55,76,85,74,79,47,65,26,28,15,17,21,41,46,54,63],
[24,29,49,73,5,7,34,38,9,10,87,87,91,12,12,14,14],
[45,55,30,30,86,91,65,66,10,14,86,86,93,16,18,68,93],
[13,16,62,74,21,28,10,12,68,101,92,103,120,92,94,65,76],
[76,100,31,43,71,128,55,55,52,69,80,93,96,11,12,1,1],
[18,21,33,38,4,6,47,70,21,27,45,46,57,95,104,62,67],
[65,70,38,50,20,20,1,1,2,2,35,40,42,47,52,10,18],
[21,23,4,6,41,43,22,30,39,65,66,85,89,24,25,61,73],
[94,107,36,45,23,35,79,79,95,109,64,77,83,47,53,25,38],
[14,17,6,9,114,116,8,9,36,43,38,58,59,88,89,50,63],
[82,93,21,28,92,95,57,82,22,25,34,36,37,9,14,71,83],
[45,51,20,20,85,93,53,73,57,79,60,76,111,60,63,56,70],
[73,94,80,90,84,84,4,5,31,36,46,53,54,50,54,26,30],
[16,17,71,93,69,72,79,99,24,27,14,16,19,11,11,77,122],
[7,7,44,46,62,63,57,67,77,98,56,67,72,56,58,64,79],
[29,45,39,43,17,17,28,46,1,1,32,34,36,3,3,83,108],
[7,7,4,5,9,10,40,63,84,90,56,74,82,44,67,34,38],
[77,105,19,24,14,15,76,83,44,48,80,94,95,23,24,95,97],
[46,49,47,67,87,97,63,84,24,40,54,66,70,64,65,14,15],
[37,38,64,77,47,56,40,46,79,87,18,20,20,17,17,11,12],
[61,92,35,42,41,41,21,26,18,18,75,81,88,28,38,73,97],
[55,67,14,17,58,66,15,17,69,77,34,40,42,17,20,54,58],
[63,77,62,62,27,29,60,62,59,82,76,94,103,42,58,94,108],
[51,65,90,104,66,78,13,13,41,77,11,11,13,61,63,39,51],
[75,88,30,41,19,19,8,13,68,72,28,35,38,35,46,78,80],
[54,62,68,73,80,104,38,48,67,68,7,8,14,41,43,17,23],
[5,5,60,62,44,56,42,46,19,24,79,88,95,68,96,26,30],
[57,66,6,7,36,63,69,79,22,30,69,78,82,63,69,18,20],
[78,92,67,81,30,34,78,88,88,91,9,11,14,24,24,49,92],
[63,70,7,8,45,46,65,81,23,32,44,56,67,14,15,55,64],
[92,93,68,96,56,72,11,13,18,21,95,110,116,34,49,74,80],
[81,87,44,54,89,95,47,67,16,20,14,14,15,26,36,44,53],
[44,66,44,55,12,15,57,66,53,55,17,18,21,85,94,3,5],
[73,115,6,7,79,82,29,30,8,9,76,89,96,29,34,72,84],
[54,56,59,82,20,20,55,89,14,15,64,98,99,57,74,22,28],
[71,72,12,16,45,50,34,44,52,60,43,50,51,38,47,71,75],
[31,33,6,7,80,102,19,26,104,132,24,35,36,49,51,70,78],
[45,49,36,36,86,101,77,118,82,90,31,31,33,92,101,3,3],
[45,83,92,97,73,74,27,28,36,37,57,64,83,23,25,86,109],
